# Geometria del corredor Tijuana-Tecate, para JTT-1395.
# Origen: 200217-IT-B Larguillo ITS Tijuana - Tecate.kmz, entregado por el lider el 20-ago-2026.
# Traza de 724 vertices, anclada a las 29 paletas de kilometraje PK 120..148 del mismo archivo.
# Cubre del PK 120.764 al PK 147.716. Fuera de ese tramo no hay geometria.
# Formato: longitud;latitud;metros   (metros = punto kilometrico normalizado, CA 8)
-116.6767400;32.5436800;127985
-116.6767700;32.5436700;127988
-116.6767800;32.5436600;127990
-116.6768600;32.5436000;128000
-116.6769600;32.5435300;128012
-116.6771700;32.5433600;128040
-116.6773000;32.5432400;128058
-116.6775000;32.5430200;128089
-116.6778900;32.5425800;128150
-116.6782600;32.5421600;128209
-116.6785300;32.5418600;128251
-116.6789800;32.5413500;128322
-116.6790000;32.5413300;128325
-116.6795400;32.5407000;128412
-116.6797800;32.5403900;128453
-116.6797800;32.5403800;128454
-116.6798800;32.5402500;128472
-116.6798900;32.5402400;128473
-116.6799900;32.5400800;128493
-116.6800800;32.5399500;128510
-116.6803500;32.5395500;128562
-116.6804000;32.5394500;128574
-116.6804900;32.5392900;128594
-116.6805600;32.5391600;128610
-116.6805800;32.5391200;128614
-116.6807300;32.5388500;128648
-116.6808400;32.5386300;128674
-116.6808700;32.5385900;128680
-116.6809200;32.5384600;128695
-116.6810400;32.5381600;128730
-116.6814400;32.5372800;128836
-116.6815100;32.5371100;128856
-116.6818900;32.5362700;128956
-116.6819900;32.5360600;128982
-116.6820700;32.5358600;129005
-116.6821200;32.5357400;129019
-116.6821300;32.5357000;129024
-116.6824300;32.5349900;129107
-116.6828000;32.5341700;129205
-116.6828600;32.5340000;129224
-116.6829800;32.5337300;129256
-116.6830800;32.5335300;129281
-116.6831200;32.5334500;129290
-116.6834400;32.5328400;129364
-116.6837200;32.5322700;129433
-116.6839500;32.5318500;129484
-116.6840500;32.5316900;129504
-116.6841300;32.5315300;129523
-116.6852800;32.5294500;129778
-116.6853500;32.5293300;129792
-116.6854400;32.5291500;129814
-116.6854900;32.5290600;129825
-116.6855100;32.5290100;129831
-116.6858700;32.5284300;129904
-116.6859000;32.5283800;129910
-116.6860800;32.5280500;129950
-116.6861800;32.5278800;129971
-116.6862300;32.5278000;129981
-116.6863500;32.5276400;130002
-116.6864100;32.5275800;130011
-116.6865000;32.5274800;130025
-116.6865300;32.5274500;130029
-116.6868400;32.5271800;130071
-116.6873500;32.5269200;130127
-116.6876700;32.5267900;130161
-116.6877400;32.5267500;130169
-116.6879000;32.5266800;130185
-116.6880000;32.5266500;130195
-116.6881100;32.5266300;130206
-116.6882700;32.5266100;130221
-116.6884800;32.5266100;130241
-116.6887600;32.5265900;130267
-116.6890100;32.5265900;130291
-116.6908500;32.5265300;130464
-116.6908700;32.5265300;130466
-116.6909500;32.5265300;130473
-116.6916100;32.5265500;130535
-116.6916300;32.5265400;130538
-116.6920900;32.5265100;130581
-116.6923600;32.5265000;130606
-116.6925300;32.5265000;130622
-116.6926800;32.5265000;130636
-116.6931500;32.5264900;130681
-116.6940000;32.5264700;130760
-116.6940800;32.5264700;130768
-116.6947900;32.5264600;130835
-116.6950900;32.5264500;130863
-116.6953700;32.5264400;130889
-116.6958900;32.5264300;130938
-116.6961900;32.5264200;130966
-116.6975200;32.5264000;131091
-116.6978800;32.5263900;131125
-116.6985700;32.5263800;131190
-116.6986700;32.5263700;131200
-116.6992200;32.5263600;131251
-116.6996900;32.5263600;131296
-116.7000000;32.5263500;131325
-116.7001900;32.5263600;131343
-116.7008200;32.5263800;131402
-116.7018600;32.5264600;131500
-116.7020700;32.5264900;131520
-116.7021500;32.5265000;131528
-116.7023300;32.5265200;131545
-116.7028400;32.5265900;131594
-116.7031300;32.5266300;131621
-116.7036400;32.5267300;131670
-116.7039400;32.5267800;131699
-116.7040000;32.5268000;131705
-116.7042100;32.5268400;131726
-116.7048200;32.5269700;131785
-116.7051800;32.5270500;131820
-116.7058700;32.5271900;131886
-116.7060700;32.5272300;131906
-116.7064500;32.5273100;131943
-116.7074800;32.5275200;132042
-116.7075200;32.5275300;132046
-116.7082800;32.5276800;132120
-116.7083600;32.5276900;132128
-116.7089700;32.5277800;132186
-116.7093800;32.5278100;132225
-116.7095800;32.5278200;132244
-116.7102100;32.5278200;132304
-116.7103800;32.5278100;132320
-116.7104800;32.5278100;132329
-116.7107000;32.5278000;132350
-116.7110100;32.5277700;132380
-116.7113900;32.5277200;132416
-116.7118000;32.5276400;132456
-116.7125300;32.5274800;132527
-116.7131300;32.5273600;132585
-116.7135200;32.5272900;132623
-116.7148100;32.5270000;132749
-116.7156800;32.5268400;132833
-116.7165500;32.5266500;132918
-116.7169600;32.5265700;132958
-116.7172000;32.5265300;132981
-116.7178000;32.5264100;133039
-116.7190600;32.5261700;133161
-116.7199100;32.5260800;133242
-116.7205300;32.5260500;133301
-116.7210400;32.5260300;133349
-116.7214300;32.5260400;133385
-116.7221300;32.5260500;133452
-116.7224500;32.5260700;133482
-116.7225200;32.5260800;133489
-116.7235600;32.5261200;133587
-116.7237200;32.5261200;133602
-116.7239400;32.5261300;133623
-116.7253300;32.5261900;133754
-116.7267100;32.5262500;133884
-116.7269200;32.5262600;133904
-116.7271300;32.5262700;133924
-116.7274900;32.5262800;133958
-116.7294600;32.5263700;134145
-116.7299000;32.5263900;134187
-116.7299500;32.5263900;134192
-116.7300000;32.5263900;134197
-116.7301200;32.5263900;134208
-116.7314800;32.5264500;134338
-116.7330100;32.5265200;134484
-116.7338100;32.5266000;134561
-116.7345600;32.5267500;134634
-116.7347100;32.5267900;134649
-116.7349100;32.5268600;134670
-116.7349600;32.5268700;134674
-116.7350800;32.5269100;134687
-116.7355000;32.5270700;134731
-116.7356500;32.5271200;134746
-116.7356900;32.5271400;134750
-116.7360300;32.5273100;134788
-116.7364100;32.5275300;134832
-116.7367300;32.5277500;134871
